Feature,Importance
TeamName_Richmond,0.0008467975534116492
TeamName_Ohio St.,0.0008399812940080451
TeamName_Abilene Christian,0.0008168500745320767
TeamName_Wisconsin,0.0007954391399420588
TeamName_Illinois,0.0007730908790943711
TeamName_Oklahoma St.,0.0007684824708962882
CONF_MAC,0.0007666797643730023
CONF_MAAC,0.0007612888947239274
TeamName_Wichita St.,0.0007589950481042862
TeamName_Colorado,0.0007581346166658251
TeamName_Texas Southern,0.0007519383181469087
TeamName_Boise St.,0.0007373356671806726
TeamName_Loyola Chicago,0.0007208132131438222
TeamName_Texas Tech,0.0006956068991901854
CONF_BW,0.000637452680364739
TeamName_Kentucky,0.0006361830308590954
CONF_SB,0.000616300204555929
TeamName_Oklahoma,0.0006072943252875778
TeamName_Southeast Missouri St.,0.0005836923750322122
TeamName_Colorado St.,0.0005739609154190922
TeamName_Purdue,0.000572858798982999
TeamName_TCU,0.000538353669487434
CONF_MVC,0.0005246792410204788
TeamName_Xavier,0.0005225407881630645
TeamName_Murray St.,0.0005127684742832221
CONF_Sum,0.000492064762619794
TeamName_Oral Roberts,0.00048631725294551425
TeamName_Duke,0.0004726481272109346
TeamName_Virginia,0.0004455221599990815
TeamName_Clemson,0.0004304612888372428
TeamName_Missouri,0.00042951246779134077
TeamName_Arizona,0.00042830110475691545
CONF_SWAC,0.00042405630478123965
TeamName_Texas A&M Corpus Chris,0.00038837228318238645
TeamName_BYU,0.00038292039202183993
CONF_SC,0.00037379425752508854
TeamName_Memphis,0.0003621194723479749
TeamName_Tennessee,0.0003595167173629337
TeamName_Marquette,0.0003566262875985403
TeamName_San Francisco,0.0003401162873896354
TeamName_Fairleigh Dickinson,0.00032754521901309064
TeamName_Florida,0.00031168397294061565
TeamName_South Dakota St.,0.0002982167793745592
TeamName_Florida St.,0.00029402666589551496
TeamName_Charleston,0.00028864257315019455
TeamName_Auburn,0.0002760363106583081
TeamName_Iona,0.00025634597188813936
CONF_Pat,0.00024437380901867143
TeamName_Howard,0.00021036737903958923
CONF_ASun,0.00020788062372958317
TeamName_LSU,0.00020227434503429297
TeamName_UAB,0.0001936404467992666
TeamName_Utah St.,0.00018597866715288537
TeamName_St. Bonaventure,0.00018432478743244665
TeamName_Texas A&M,0.00017537112883978106
TeamName_Penn St.,0.0001724863145458695
TeamName_Kent St.,0.00016912570645183988
TeamName_Seton Hall,0.00016792086390158368
CONF_Horz,0.00015824457342967713
TeamName_Hartford,0.00015409396402788487
TeamName_Georgetown,0.00015137426633266495
TeamName_Wright St.,0.00014765380630386957
TeamName_Eastern Washington,0.00014758012008970556
CONF_CAA,0.00013840180570651373
TeamName_VCU,0.00011879610554433712
TeamName_Liberty,9.72679202869154e-05
TeamName_Indiana,9.402654867256638e-05
CONF_BSth,9.243130937566054e-05
TeamName_Georgia Tech,8.493594969828372e-05
TeamName_Virginia Tech,7.662682284677709e-05
TeamName_Norfolk St.,7.33309649324617e-05
TeamName_Grand Canyon,3.6812298750476986e-05
TeamName_Colgate,3.156477742190037e-05
CONF_BSky,2.7004775293146496e-05
TeamName_Georgia St.,1.5664417388177326e-05
TeamName_Vermont,1.3986013986014017e-05
TeamName_UC Santa Barbara,1.3194276012612191e-05
TeamName_Arizona St.,1.1517615176151768e-05
TeamName_Cleveland St.,1.1072215218408794e-05
TeamName_N.C. State,7.0599450211243e-06
CONF_AE,6.746924196322248e-06
TeamName_Kennesaw St.,6.1063218390803635e-06
TeamName_Drake,5.2773397644847215e-06
TeamName_Montana St.,4.182263492056151e-06
TeamName_Akron,0.0
TeamName_Davidson,0.0
TeamName_Chattanooga,0.0
TeamName_Delaware,0.0
TeamName_Morehead St.,0.0
TeamName_Northern Kentucky,0.0
TeamName_UNC Asheville,0.0
TeamName_Drexel,0.0
TeamName_Jacksonville St.,0.0
TeamName_Cal St. Fullerton,0.0
TeamName_West Virginia,0.0
TeamName_Louisiana,0.0
CONF_MEAC,0.0
TeamName_Winthrop,0.0
TeamName_Longwood,0.0
TeamName_Yale,0.0
TeamName_UNC Greensboro,0.0
